,0,1,2,3,4,5,6
279,231,baseline,RW-S.3,mot-UES,mot-UES-12,0,4
280,231,baseline,long_term,get_attention,att-1,1,3
281,231,baseline,long_term,get_attention,att-2,1,2
282,231,baseline,long_term,get_attention,att-3,1,3
283,231,baseline,long_term,get_attention,att-4,1,4
284,231,baseline,long_term,get_attention,att-5,1,4
285,231,baseline,long_term,get_attention,att-6,1,2
286,231,baseline,Intrinsic motivation,mot-SIMS,mot-sims-2,1,3
287,231,baseline,Identified regulation,mot-SIMS,mot-sims-3,1,5
288,231,baseline,External regulation,mot-SIMS,mot-sims-4,1,4
289,231,baseline,Amotivation,mot-SIMS,mot-sims-5,1,1
290,231,baseline,Intrinsic motivation,mot-SIMS,mot-sims-6,1,3
291,231,baseline,Identified regulation,mot-SIMS,mot-sims-7,1,5
292,231,baseline,External regulation,mot-SIMS,mot-sims-8,1,5
293,231,baseline,Amotivation,mot-SIMS,mot-sims-9,1,1
294,231,baseline,Intrinsic motivation,mot-SIMS,mot-sims-11,1,4
295,231,baseline,Identified regulation,mot-SIMS,mot-sims-12,1,4
296,231,baseline,External regulation,mot-SIMS,mot-sims-13,1,5
297,231,baseline,Amotivation,mot-SIMS,mot-sims-14,1,1
298,231,baseline,Intrinsic motivation,mot-SIMS,mot-sims-15,1,4
299,231,baseline,Identified regulation,mot-SIMS,mot-sims-16,1,5
300,231,baseline,External regulation,mot-SIMS,mot-sims-17,1,1
301,231,baseline,Amotivation,mot-SIMS,mot-sims-18,1,1
302,231,baseline,Competence,mot-TENS,mot-tens-1,1,4
303,231,baseline,Competence,mot-TENS,mot-tens-2,1,4
304,231,baseline,Competence,mot-TENS,mot-tens-3,1,1
305,231,baseline,Competence,mot-TENS,mot-tens-4,1,1
306,231,baseline,Competence,mot-TENS,mot-tens-5,1,1
307,231,baseline,Autonomy,mot-TENS,mot-tens-6,1,2
308,231,baseline,Autonomy,mot-TENS,mot-tens-7,1,4
309,231,baseline,Autonomy,mot-TENS,mot-tens-8,1,3
310,231,baseline,Autonomy,mot-TENS,mot-tens-9,1,1
311,231,baseline,Autonomy,mot-TENS,mot-tens-10,1,3
312,231,baseline,Mental Demand,mot-NASA-TLX,mot-tlx-1,1,4
313,231,baseline,Physical demand,mot-NASA-TLX,mot-tlx-2,1,1
314,231,baseline,Temporal demand,mot-NASA-TLX,mot-tlx-3,1,3
315,231,baseline,Performance,mot-NASA-TLX,mot-tlx-4,1,15
316,231,baseline,Effort,mot-NASA-TLX,mot-tlx-5,1,4
317,231,baseline,Frustration,mot-NASA-TLX,mot-tlx-6,1,14
318,231,baseline,game_habit,VGQ,vgq-1,2,0
319,231,baseline,game_habit,VGQ,vgq-2,2,3
320,231,baseline,game_habit,VGQ,vgq-3,2,0
321,231,baseline,game_habit,VGQ,vgq-4,2,0
322,231,baseline,game_habit,VGQ,vgq-5,2,3
323,231,baseline,game_habit,VGQ,vgq-6,2,3
324,231,baseline,game_habit,VGQ,vgq-7,2,0
325,231,baseline,game_habit,VGQ,vgq-8,2,3
326,231,baseline,game_habit,VGQ,vgq-1,2,0
327,231,baseline,game_habit,VGQ,vgq-2,2,3
328,231,baseline,game_habit,VGQ,vgq-3,2,0
329,231,baseline,game_habit,VGQ,vgq-4,2,0
330,231,baseline,game_habit,VGQ,vgq-5,2,3
331,231,baseline,game_habit,VGQ,vgq-6,2,3
332,231,baseline,game_habit,VGQ,vgq-7,2,0
333,231,baseline,game_habit,VGQ,vgq-8,2,3
334,231,baseline,FA-S.1,mot-UES,mot-UES-1,2,0
335,231,baseline,FA-S.2,mot-UES,mot-UES-2,2,2
336,231,baseline,FA-S.3,mot-UES,mot-UES-3,2,3
337,231,baseline,PU-S.1,mot-UES,mot-UES-4,2,1
338,231,baseline,PU-S.2,mot-UES,mot-UES-5,2,1
339,231,baseline,PU-S.3,mot-UES,mot-UES-6,2,2
340,231,baseline,AE-S.1,mot-UES,mot-UES-7,2,2
341,231,baseline,AE-S.2,mot-UES,mot-UES-8,2,2
342,231,baseline,AE-S.3,mot-UES,mot-UES-9,2,2
343,231,baseline,RW-S.1,mot-UES,mot-UES-10,2,3
344,231,baseline,RW-S.2,mot-UES,mot-UES-11,2,3
345,231,baseline,RW-S.3,mot-UES,mot-UES-12,2,3
346,231,baseline,Mental Demand,mot-NASA-TLX,mot-tlx-1,2,4
347,231,baseline,Physical demand,mot-NASA-TLX,mot-tlx-2,2,1
348,231,baseline,Temporal demand,mot-NASA-TLX,mot-tlx-3,2,6
349,231,baseline,Performance,mot-NASA-TLX,mot-tlx-4,2,17
350,231,baseline,Effort,mot-NASA-TLX,mot-tlx-5,2,4
351,231,baseline,Frustration,mot-NASA-TLX,mot-tlx-6,2,4
352,232,baseline,long_term,get_mot_profil,prof-mot-1,0,38
353,232,baseline,long_term,get_mot_profil,prof-mot-2,0,0
354,232,baseline,long_term,get_mot_profil,prof-mot-12,0,2003
355,232,baseline,long_term,get_mot_profil,prof-mot-6,0,1
356,232,baseline,long_term,get_mot_profil,prof-mot-7,0,0
357,232,baseline,long_term,get_mot_profil,prof-mot-8,0,0
358,232,baseline,long_term,get_mot_profil,prof-mot-10,0,1
359,232,baseline,long_term,get_mot_profil,prof-mot-11,0,1
360,232,baseline,FA-S.1,mot-UES,mot-UES-1,0,2
361,232,baseline,FA-S.2,mot-UES,mot-UES-2,0,3
362,232,baseline,FA-S.3,mot-UES,mot-UES-3,0,3
363,232,baseline,PU-S.1,mot-UES,mot-UES-4,0,3
364,232,baseline,PU-S.2,mot-UES,mot-UES-5,0,0
365,232,baseline,PU-S.3,mot-UES,mot-UES-6,0,2
366,232,baseline,AE-S.1,mot-UES,mot-UES-7,0,3
367,232,baseline,AE-S.2,mot-UES,mot-UES-8,0,1
368,232,baseline,AE-S.3,mot-UES,mot-UES-9,0,0
369,232,baseline,RW-S.1,mot-UES,mot-UES-10,0,3
370,232,baseline,RW-S.2,mot-UES,mot-UES-11,0,3
371,232,baseline,RW-S.3,mot-UES,mot-UES-12,0,4
372,232,baseline,long_term,get_attention,att-1,1,2
373,232,baseline,long_term,get_attention,att-2,1,1
374,232,baseline,long_term,get_attention,att-3,1,1
375,232,baseline,long_term,get_attention,att-4,1,2
376,232,baseline,long_term,get_attention,att-5,1,2
377,232,baseline,long_term,get_attention,att-6,1,2
378,232,baseline,Intrinsic motivation,mot-SIMS,mot-sims-2,1,5
379,232,baseline,Identified regulation,mot-SIMS,mot-sims-3,1,4
380,232,baseline,External regulation,mot-SIMS,mot-sims-4,1,5
381,232,baseline,Amotivation,mot-SIMS,mot-sims-5,1,0
382,232,baseline,Intrinsic motivation,mot-SIMS,mot-sims-6,1,5
383,232,baseline,Identified regulation,mot-SIMS,mot-sims-7,1,4
384,232,baseline,External regulation,mot-SIMS,mot-sims-8,1,4
385,232,baseline,Amotivation,mot-SIMS,mot-sims-9,1,0
386,232,baseline,Intrinsic motivation,mot-SIMS,mot-sims-11,1,5
387,232,baseline,Identified regulation,mot-SIMS,mot-sims-12,1,5
388,232,baseline,External regulation,mot-SIMS,mot-sims-13,1,5
389,232,baseline,Amotivation,mot-SIMS,mot-sims-14,1,0
390,232,baseline,Intrinsic motivation,mot-SIMS,mot-sims-15,1,4
391,232,baseline,Identified regulation,mot-SIMS,mot-sims-16,1,5
392,232,baseline,External regulation,mot-SIMS,mot-sims-17,1,1
393,232,baseline,Amotivation,mot-SIMS,mot-sims-18,1,0
394,232,baseline,Competence,mot-TENS,mot-tens-1,1,4
395,232,baseline,Competence,mot-TENS,mot-tens-2,1,4
396,232,baseline,Competence,mot-TENS,mot-tens-3,1,1
397,232,baseline,Competence,mot-TENS,mot-tens-4,1,1
398,232,baseline,Competence,mot-TENS,mot-tens-5,1,1
399,232,baseline,Autonomy,mot-TENS,mot-tens-6,1,3
400,232,baseline,Autonomy,mot-TENS,mot-tens-7,1,3
401,232,baseline,Autonomy,mot-TENS,mot-tens-8,1,4
402,232,baseline,Autonomy,mot-TENS,mot-tens-9,1,1
403,232,baseline,Autonomy,mot-TENS,mot-tens-10,1,1
404,232,baseline,Mental Demand,mot-NASA-TLX,mot-tlx-1,1,12
405,232,baseline,Physical demand,mot-NASA-TLX,mot-tlx-2,1,12
406,232,baseline,Temporal demand,mot-NASA-TLX,mot-tlx-3,1,13
407,232,baseline,Performance,mot-NASA-TLX,mot-tlx-4,1,16
408,232,baseline,Effort,mot-NASA-TLX,mot-tlx-5,1,14
409,232,baseline,Frustration,mot-NASA-TLX,mot-tlx-6,1,16
