,participant_id,task_status,HR-rt-gonogo,1-accuracy-moteval,4-accuracy-moteval,8-accuracy-moteval,parity-switch-rt-taskswitch,parity-unswitch-rt-taskswitch,relative-switch-rt-taskswitch,relative-unswitch-rt-taskswitch,accuracy_near-loadblindness,accuracy_far-loadblindness,2-hit-miss-memorability,3-hit-miss-memorability,4-hit-miss-memorability,5-hit-miss-memorability,100-hit-miss-memorability,5-accuracy-enumeration,6-accuracy-enumeration,7-accuracy-enumeration,8-accuracy-enumeration,9-accuracy-enumeration,4-accuracy-workingmemory,5-accuracy-workingmemory,6-accuracy-workingmemory,7-accuracy-workingmemory,8-accuracy-workingmemory
22,116,PRE_TEST,483.88235294117646,0.88,0.64,0.4933333333333333,342.12,299.14,390.0,316.7826086956522,1.0,0.85,0.40625,0.375,0.40625,0.46875,0.34375,0.95,0.7,0.85,0.6,0.25,1.0,0.9166666666666666,0.25,0.0833333333333333,0.0
23,116,POST_TEST,461.2941176470589,0.9733333333333334,0.6133333333333333,0.5199999999999999,252.07692307692307,261.75,334.70454545454544,222.5,0.9,0.8,0.375,0.375,0.4375,0.4375,0.28125,0.95,1.0,0.75,0.7,0.45,1.0,0.9166666666666666,0.0833333333333333,0.0,0.1666666666666666
24,140,PRE_TEST,414.94444444444446,0.9733333333333332,0.8533333333333335,0.56,246.17777777777775,236.57777777777775,233.86274509803923,281.5686274509804,0.8,0.6,0.375,0.5,0.5,0.46875,0.15625,0.9,0.9,0.8,0.6,0.35,0.8333333333333334,0.9166666666666666,0.5833333333333334,0.4166666666666667,0.4166666666666667
25,140,POST_TEST,470.2941176470589,0.96,0.8533333333333334,0.68,192.06666666666663,290.3666666666667,328.8333333333333,168.08333333333334,0.6,0.6,0.46875,0.4375,0.5,0.5,0.28125,0.95,0.9,0.8,0.75,0.5,1.0,1.0,0.6666666666666666,0.25,0.0833333333333333
26,158,PRE_TEST,542.5,0.9866666666666668,0.8,0.6133333333333334,401.1627906976744,290.3953488372093,385.1698113207547,315.49056603773585,0.55,0.85,0.40625,0.34375,0.3125,0.34375,0.09375,0.75,0.4,0.15,0.1,0.0,0.9166666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666
27,158,POST_TEST,521.1111111111111,0.9866666666666668,0.6933333333333334,0.5599999999999999,270.5576923076923,359.3269230769231,371.8863636363636,290.54545454545456,0.8,0.75,0.375,0.40625,0.4375,0.4375,0.0,0.8,0.4,0.2,0.0,0.05,1.0,0.8333333333333334,0.5833333333333334,0.0833333333333333,0.1666666666666666
28,4,PRE_TEST,672.3333333333334,,,,757.952380952381,509.57142857142856,757.4629629629629,762.6666666666666,0.85,0.75,0.34375,0.46875,0.4375,0.5,0.15625,0.6,0.3,0.35,0.7,0.25,0.75,0.6666666666666666,0.25,0.0,0.0
29,4,POST_TEST,685.3333333333334,,,,684.7727272727273,523.9318181818181,641.6538461538462,576.3461538461538,0.75,0.9,0.34375,0.46875,0.4375,0.5,0.15625,0.65,0.35,0.45,0.35,0.35,1.0,0.6666666666666666,0.3333333333333333,0.1666666666666666,0.0
30,2,PRE_TEST,525.2352941176471,,,,470.44444444444446,365.02222222222224,381.2549019607843,419.7450980392157,0.35,0.75,,,,,,0.9,0.9,0.7,0.4,0.2,0.75,0.75,0.5833333333333334,0.25,0.25
31,2,POST_TEST,578.8235294117648,,,,478.9,318.52,430.69565217391306,440.2391304347826,0.7,0.75,0.09375,0.21875,0.1875,0.1875,0.125,1.0,0.75,0.7,0.45,0.0,0.8333333333333334,0.9166666666666666,0.6666666666666666,0.25,0.25
32,97,PRE_TEST,,,,,544.5106382978723,665.1276595744681,597.1224489795918,541.6122448979592,,,0.34375,0.375,0.375,0.40625,0.1875,0.45,0.15,0.1,0.35,0.2,0.8333333333333334,0.75,0.1666666666666666,0.0833333333333333,0.0
33,97,POST_TEST,,,,,579.5714285714286,366.6666666666667,419.22222222222223,505.3518518518519,,,0.25,0.375,0.3125,0.375,0.40625,0.2,0.1,0.15,0.35,0.25,0.75,0.5,0.25,0.0,0.0
